Start date,Start time,End time,Subject
2/11/2020,1:50 PM,3:00 PM,13 CS HL/SL
3/11/2020,7:55 AM,9:05 AM,11 CS
3/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
4/11/2020,7:55 AM,9:05 AM,13 CS HL/SL
4/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
4/11/2020,11:45 AM,12:55 PM,12 CS HL
4/11/2020,1:50 PM,3:00 PM,Planning
5/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
5/11/2020,9:10 AM,10:20 AM,11 CS
5/11/2020,11:45 AM,12:55 PM,12 CS HL
6/11/2020,9:10 AM,10:20 AM,13 CS HL/SL
6/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
9/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
9/11/2020,11:45 AM,12:55 PM,11 CS
10/11/2020,7:55 AM,9:05 AM,Planning
10/11/2020,11:45 AM,12:55 PM,13 CS HL/SL
10/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
11/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
11/11/2020,1:50 PM,3:00 PM,11 CS
12/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
12/11/2020,9:10 AM,10:20 AM,12 CS HL
12/11/2020,1:50 PM,3:00 PM,13 CS HL/SL
17/11/2020,7:55 AM,9:05 AM,11 CS
17/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
18/11/2020,7:55 AM,9:05 AM,13 CS HL/SL
18/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
18/11/2020,11:45 AM,12:55 PM,12 CS HL
18/11/2020,1:50 PM,3:00 PM,Planning
19/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
19/11/2020,9:10 AM,10:20 AM,11 CS
19/11/2020,11:45 AM,12:55 PM,12 CS HL
23/11/2020,9:10 AM,10:20 AM,13 CS HL/SL
23/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
24/11/2020,9:10 AM,10:20 AM,12 CS HL/SL
